system:index,latitude,longitude,nd,.geo,priority
0_0,24.695136318087705,46.923049708341146,0.13748164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.923049708341146,24.695136318087705]}",Medium
1_0,24.515473261263804,46.966168841978885,0.06912322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.966168841978885,24.515473261263804]}",High
2_0,24.60171152853928,46.7092506707207,0.03021491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.7092506707207,24.601711528539276]}",High
3_0,24.547812611492105,46.965270526694766,0.07849571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.965270526694766,24.547812611492105]}",High
4_0,24.958342696334725,46.73350518339193,0.11197431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.73350518339193,24.958342696334725]}",Medium
5_0,24.996071938267747,46.915863186068194,0.07079505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.915863186068194,24.996071938267747]}",High
6_0,24.83617181769447,46.729911922255454,0.00973633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.729911922255454,24.83617181769447]}",High
7_0,24.943969651788816,46.56013033355686,0.07121796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.56013033355686,24.943969651788816]}",High
8_0,24.87839263604809,46.55653707242038,0.05904404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.55653707242038,24.87839263604809]}",High
9_0,24.81820551201208,46.706555724868345,0.059458192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.706555724868345,24.81820551201208]}",High
10_0,24.70232284036066,46.9113716096476,0.049320035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.911371609647595,24.70232284036066]}",High
11_0,24.850544862240383,46.84040470220215,0.042789258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.84040470220215,24.850544862240383]}",High
12_0,24.749933550419,46.997609876923065,0.062442753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.997609876923065,24.749933550418998]}",High
13_0,24.961935957471205,46.60863935889932,0.04349868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.60863935889932,24.961935957471205]}",High
14_0,24.510083369559084,46.65265680782117,0.06433754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.652656807821174,24.510083369559084]}",High
15_0,24.566677232458616,46.93832106817118,0.086341456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.93832106817118,24.566677232458616]}",High
16_0,24.929596607242903,46.77842094759791,0.05566017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.77842094759791,24.929596607242903]}",High
17_0,24.997868568835987,46.55024886543155,-0.023814145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.55024886543155,24.997868568835987]}",High
18_0,24.53972777393503,46.53857076673799,0.08034751,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.53857076673799,24.53972777393503]}",High
