system:index,nd,.geo
0_0,0.13748164,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.06912322,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.03021491,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.07849571,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.11197431,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.07079505,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.00973633,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.07121796,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.05904404,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.059458192,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.049320035,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.042789258,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.062442753,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.04349868,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.06433754,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.086341456,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.05566017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,-0.023814145,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.08034751,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0.08034653,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.056610238,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.14750914,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.07988251,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.07322917,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.069576345,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.06174227,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.07307592,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.038530096,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.059224587,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.05431209,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.07378549,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.090328224,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.0680054,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.055209413,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.065044485,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.06575543,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.080724716,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.025891809,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.0737557,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.22114551,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.073382325,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.0945165,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.041411534,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.15753734,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.07753839,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.042342816,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.05263936,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.0525161,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.063113414,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.050269198,"{""type"":""MultiPoint"",""coordinates"":[]}"
